suburb,tier,latitude,longitude,distance_to_cbd_km,bedrooms,bathrooms,size_sqm,plot_size_sqm,house_age,has_pool,has_borehole,has_solar,walled,price_usd
Hatfield,middle,-17.875526316694117,31.089093900868473,6.8,5,5,217,943,16,0,0,0,1,208991.39
Hatfield,middle,-17.870381391353984,31.089820106519042,6.46,3,2,208,206,6,0,0,0,1,134448.97
Avondale,upper-mid,-17.789211586996515,31.02898615322168,4.95,2,1,360,1983,37,0,1,1,1,272919.97
Vainona,upper-mid,-17.773113692330814,31.088109620639774,7.89,4,3,259,1118,19,0,1,1,1,444019.63
Glen Lorne,premium,-17.739844670430756,31.184849488468277,17.94,4,3,335,2054,28,0,1,1,1,523138.84
Glen View,township,-17.930190868072682,30.959472303608955,14.27,5,4,77,356,19,0,0,0,0,49226.4
Avondale,upper-mid,-17.794378785548123,31.029784298279655,4.38,4,3,267,544,53,0,1,0,1,268471.1
Highlands,upper-mid,-17.79259091057231,31.071989922787814,5.14,5,4,217,861,24,0,0,0,1,441907.32
Vainona,upper-mid,-17.779161282763635,31.085496758711436,7.18,2,1,319,1774,33,1,1,0,1,301767.11
Avonlea,middle,-17.77093714280931,30.988408967639337,8.97,3,2,109,651,19,0,0,0,1,179895.25
Ballantyne Park,premium,-17.761033281429086,31.079369622318147,8.59,2,2,300,1529,19,1,1,0,1,434480.54
Mufakose,township,-17.90531973438312,30.954944981031428,12.61,3,3,81,254,14,0,1,0,0,52962.65
Hatfield,middle,-17.87779615427567,31.087766012969304,6.9,3,3,187,1051,20,1,1,1,1,157730.39
Hatfield,middle,-17.87209673162502,31.088823100035935,6.51,4,3,173,603,28,0,0,0,1,134284.47
Avondale,upper-mid,-17.799999722896327,31.024591501411585,4.07,1,1,256,1304,19,0,1,0,1,279322.38
Avonlea,middle,-17.768430004251993,30.986462383519978,9.32,3,2,174,1003,15,0,0,0,1,207750.6
Avonlea,middle,-17.769204917290043,30.99374001131368,8.76,2,2,211,1229,20,0,1,0,1,224162.2
Belvedere,middle,-17.851897658381464,31.01581483173388,3.87,2,2,130,732,32,0,0,0,1,130782.24
Glen Lorne,premium,-17.74787578812748,31.178676141145477,16.9,8,6,322,2002,15,0,1,0,1,679151.96
Avondale,upper-mid,-17.791595859101307,31.028658834002336,4.71,2,2,148,921,17,0,0,1,1,240719.86
Borrowdale,premium,-17.74115733995301,31.097671259957973,11.44,4,4,330,2120,14,1,1,0,1,705572.62
Marlborough,middle,-17.77926297911038,30.946089610631656,11.95,4,3,135,442,33,0,1,1,1,255351.75
Vainona,upper-mid,-17.780854349831532,31.089156501602886,7.28,5,4,147,937,12,0,1,0,1,482746.06
Mt Pleasant,premium,-17.777899711836554,31.02164951440797,6.4,5,4,332,1989,19,0,0,1,1,604852.93
Mt Pleasant,premium,-17.776464860154952,31.01806094657313,6.7,2,1,332,2348,41,0,1,1,1,363405.54
Avonlea,middle,-17.774671007670392,30.995411715272176,8.17,4,4,145,704,38,0,1,0,0,191581.18
Ballantyne Park,premium,-17.762491283346094,31.083722043668487,8.65,3,2,326,1803,24,0,1,1,1,424225.89
Glen View,township,-17.927553682539916,30.973355062136054,13.14,4,3,79,524,20,0,0,0,1,46815.99
Avonlea,middle,-17.769463982095328,30.986918214733674,9.2,8,6,174,607,31,1,0,1,1,311978.94
Greendale,upper-mid,-17.78446745944055,31.12948245675785,10.33,2,1,375,1430,27,0,1,0,1,350884.99
Avonlea,middle,-17.762450636214975,30.989912358758588,9.6,1,1,121,528,39,0,1,1,1,169964.77
Borrowdale,premium,-17.739694772756604,31.098554178007948,11.63,1,1,403,1660,2,1,0,1,1,585297.36
Kambuzuma,township,-17.86484926971317,30.96379878486509,9.38,1,1,70,298,17,0,0,0,1,32910.99
Avondale,upper-mid,-17.79412206200955,31.029818269381668,4.4,5,4,324,1109,15,1,0,0,0,417835.31
Mabelreign,middle,-17.81293247332513,31.002331125613257,4.94,4,4,142,871,28,0,0,0,1,133683.02
Glen Lorne,premium,-17.74633102679332,31.173478838672033,16.54,1,1,486,1392,32,1,1,1,1,440414.38
Avondale,upper-mid,-17.789179075633186,31.02299274426138,5.2,7,6,312,1614,13,0,1,1,1,497244.11
Marlborough,middle,-17.77446991743037,30.953833871461313,11.52,3,3,256,1990,15,0,1,0,1,302467.09
Kambuzuma,township,-17.860881898330344,30.962277902186685,9.36,1,1,122,664,33,0,0,0,1,33999.43
Avonlea,middle,-17.77746824072358,30.992802288874792,8.12,3,2,203,1614,5,0,1,0,0,227833.36
Avondale,upper-mid,-17.794852135223394,31.0273609542682,4.43,5,5,281,1288,2,0,0,1,1,437423.53
Highlands,upper-mid,-17.796420532805833,31.062101406514028,4.25,2,2,238,1127,15,0,1,0,1,339140.85
Vainona,upper-mid,-17.77962195402653,31.080620076593025,6.85,2,1,338,1385,35,1,1,0,1,369350.49
Marlborough,middle,-17.779686119687295,30.947971786837435,11.75,2,1,159,505,4,0,1,1,1,219245.91
Avondale,upper-mid,-17.78943561847135,31.032857246127584,4.8,3,3,307,1661,30,0,1,0,1,309644.3
Borrowdale,premium,-17.73575563896959,31.09655760544567,11.91,6,6,416,1922,31,0,1,1,1,840214.83
Mabelreign,middle,-17.811335539303972,30.995438409377233,5.68,2,1,195,1334,18,0,0,1,1,110690.06
Glen View,township,-17.936739451342035,30.97415915726048,13.94,3,2,77,423,24,0,0,0,1,39473.53
Mt Pleasant,premium,-17.780549787971573,31.022092246844924,6.11,2,2,391,2296,22,0,1,1,0,426393.52
Marlborough,middle,-17.785637477550235,30.95303646112493,10.96,5,5,187,473,13,0,1,0,1,290264.77
Mt Pleasant,premium,-17.769969100857974,31.01614637424251,7.44,3,2,309,3071,17,1,0,0,1,489087.73
Belvedere,middle,-17.851777778095173,31.02305677210129,3.28,5,5,234,1217,18,0,0,0,1,232748.77
Vainona,upper-mid,-17.77734755047574,31.08083576643792,7.07,1,1,171,1314,14,0,0,0,1,292463.55
Belvedere,middle,-17.849704812072925,31.019048885408385,3.45,4,4,195,845,9,0,0,0,1,187183.25
Hatfield,middle,-17.872795665349628,31.096277038552433,7.15,2,2,154,726,26,0,1,0,1,132123.82
Hatfield,middle,-17.872773216908804,31.090199158841116,6.67,1,1,166,549,8,0,0,0,1,108383.12
Mt Pleasant,premium,-17.777397042289373,31.019672267291085,6.54,1,1,411,1942,26,0,1,1,1,358265.04
Glen View,township,-17.932711078802914,30.97190467473424,13.7,2,1,116,869,33,0,0,0,0,33441.58
Highlands,upper-mid,-17.7952497554088,31.072134748053948,4.9,4,4,318,1350,40,0,1,1,1,462970.61
Borrowdale,premium,-17.735474571390984,31.0978987105115,12.01,4,4,409,2303,25,0,1,1,1,650080.94
Marlborough,middle,-17.78235954776279,30.96080970890594,10.43,1,1,168,653,34,0,1,1,1,193040.99
Greendale,upper-mid,-17.792424747790534,31.13525612986863,10.47,3,2,375,1396,17,0,0,0,1,365701.47
Mabelreign,middle,-17.812395305381827,30.99722414137825,5.46,1,1,174,858,11,0,0,0,1,110079.79
Mabelreign,middle,-17.81193292283186,30.999921105398137,5.22,7,6,125,593,28,0,1,0,1,218014.05
Vainona,upper-mid,-17.781460391904044,31.0898644792739,7.27,2,2,249,1744,5,0,0,0,1,304747.91
Kambuzuma,township,-17.85485293598417,30.9582545291833,9.56,3,3,101,599,22,0,0,0,0,44912.66
Vainona,upper-mid,-17.782254900603593,31.077968103926313,6.45,1,1,229,1569,14,0,1,1,1,340944.0
Marlborough,middle,-17.785520970573245,30.945619405841505,11.67,1,1,170,664,3,1,1,0,1,213961.51
Highlands,upper-mid,-17.785637705650505,31.069191871179875,5.66,1,1,305,1617,18,0,1,1,1,281077.78
Kambuzuma,township,-17.857710337669747,30.964537977846547,9.02,2,1,72,361,9,0,0,0,0,29054.81
Ballantyne Park,premium,-17.759036317150176,31.08404892380139,9.01,8,6,277,1189,22,0,1,0,1,589658.95
Borrowdale,premium,-17.735806942494435,31.096402822217417,11.9,3,3,481,3447,21,0,1,1,1,734925.79
Avondale,upper-mid,-17.79445441132646,31.029452595451964,4.38,2,1,330,1754,6,1,1,1,1,378573.13
Budiriro,township,-17.94230007878582,30.936782561454585,16.86,2,2,88,486,21,0,0,1,0,37192.61
Glen View,township,-17.929223583567804,30.971882022857436,13.39,3,2,75,304,13,0,0,0,0,40278.11
Hatfield,middle,-17.86864691110469,31.09232644937699,6.53,8,6,223,1044,13,0,0,0,1,218828.7
Glen View,township,-17.92907804142628,30.966367651977354,13.72,2,2,48,200,23,0,0,0,1,35701.25
Glen View,township,-17.92826242989366,30.962485294563763,13.9,3,2,40,222,14,0,1,0,0,40510.39
Marlborough,middle,-17.785992581537663,30.957761835033313,10.5,2,2,198,1124,8,0,1,0,1,264071.38
Vainona,upper-mid,-17.77880460782225,31.078872639826496,6.82,1,1,309,1763,21,0,1,0,1,351149.65
Hatfield,middle,-17.871911606159095,31.091956568002136,6.74,6,5,198,808,0,0,0,0,1,199573.41
Belvedere,middle,-17.85040894291185,31.01988787845865,3.42,2,2,240,1192,0,0,1,0,1,170703.67
Greendale,upper-mid,-17.782094445052675,31.125215084665808,10.08,2,2,334,1729,7,0,1,0,1,401565.77
Glen Lorne,premium,-17.745028399047637,31.177289073657953,16.96,4,4,427,2027,34,1,1,1,1,660717.43
Hatfield,middle,-17.87102006261064,31.0968662757082,7.07,3,2,213,979,0,0,0,0,1,150607.67
Highlands,upper-mid,-17.79192701858946,31.074800354819608,5.37,2,1,257,1977,15,0,1,0,1,395390.07
Kambuzuma,township,-17.868807874384558,30.966872356079953,9.28,3,2,86,200,13,0,0,0,1,40425.8
Highlands,upper-mid,-17.78639421319866,31.066893016141382,5.47,3,3,203,849,45,0,0,0,1,306726.96
Mt Pleasant,premium,-17.785130178518816,31.01897528866819,5.8,1,1,303,1331,18,1,1,1,1,422379.79
Mabelreign,middle,-17.808973807112583,30.996062978033503,5.73,2,2,191,820,31,0,1,1,1,115787.73
Ballantyne Park,premium,-17.760895928654985,31.067894110713052,8.16,2,1,332,1705,9,0,1,1,1,395782.32
Ballantyne Park,premium,-17.764628514594378,31.086531426932595,8.59,3,2,460,2226,0,0,0,0,1,508727.13
Avonlea,middle,-17.77433711840334,30.98853664353324,8.69,3,2,174,621,19,0,0,0,1,211386.37
Mufakose,township,-17.919874120498285,30.958865766366507,13.44,2,2,109,646,22,0,0,0,1,44607.76
Highlands,upper-mid,-17.789105103366694,31.067291728703005,5.22,2,2,134,696,19,1,1,0,1,384329.63
Vainona,upper-mid,-17.782161833904116,31.078791811914186,6.5,2,2,328,1594,19,1,1,0,1,372223.82
Hatfield,middle,-17.874463735434368,31.100751096072113,7.63,8,6,170,1002,27,0,0,1,1,225180.15
Budiriro,township,-17.940584491645662,30.9331159449953,16.99,3,2,59,371,25,0,0,0,0,26476.93
Marlborough,middle,-17.777404978808466,30.944818693559654,12.17,1,1,201,1424,21,0,0,0,1,177603.13
Mt Pleasant,premium,-17.77539112401339,31.017839802302447,6.82,5,5,546,4468,23,0,1,1,1,617196.58
Borrowdale,premium,-17.73632771346554,31.10497515389192,12.29,6,6,411,2298,22,0,1,0,1,748934.88
Highlands,upper-mid,-17.79409690108439,31.06819836206287,4.78,5,4,180,886,19,0,1,1,1,479439.16
Mt Pleasant,premium,-17.783250987844184,31.02379525282761,5.76,1,1,307,1927,6,0,0,1,1,420859.15
Belvedere,middle,-17.850016715173652,31.017601595116478,3.59,2,2,162,664,29,1,1,0,1,170854.05
Mt Pleasant,premium,-17.78208534332881,31.016285396160455,6.23,4,3,426,2497,0,1,1,1,1,643088.67
Marlborough,middle,-17.77092154972286,30.949899914849844,12.08,3,3,230,863,10,0,0,1,1,275128.56
Belvedere,middle,-17.852914457450158,31.025450830168452,3.2,5,5,146,611,18,0,1,0,1,237968.7
Avonlea,middle,-17.775711334531653,30.998220181576823,7.89,2,2,178,974,24,0,0,0,0,209910.9
Highlands,upper-mid,-17.794370143935087,31.077135247291196,5.31,2,1,199,940,25,1,1,0,1,379418.79
Mabelreign,middle,-17.812446383233514,31.003820480196758,4.82,5,5,202,686,19,0,0,1,0,201066.11
Hatfield,middle,-17.875637332981864,31.08707631961383,6.67,4,3,157,1265,34,0,1,1,1,142593.26
Hatfield,middle,-17.870745529703843,31.081573140675918,5.88,6,6,198,486,10,0,0,0,1,184435.82
Mt Pleasant,premium,-17.777542120530782,31.024724757625847,6.32,2,2,442,2352,22,0,1,1,1,473549.14
Mt Pleasant,premium,-17.773432279296586,31.017629576090265,7.03,1,1,371,2275,24,0,0,1,1,386075.06
Kambuzuma,township,-17.856471209440226,30.96107552117211,9.32,2,2,102,461,36,0,0,0,1,37662.94
Greendale,upper-mid,-17.787824371189632,31.131642921707616,10.35,5,4,218,1229,22,0,0,0,1,417288.56
Vainona,upper-mid,-17.77007937470206,31.076335653083856,7.54,3,2,195,1333,25,1,0,1,1,376112.23
Marlborough,middle,-17.77723487160431,30.950498361037734,11.65,2,2,121,489,41,0,0,0,1,158748.96
Belvedere,middle,-17.85690600170241,31.023562150592465,3.67,3,3,226,307,28,0,0,0,1,171269.11
Kambuzuma,township,-17.85898992035873,30.96461227866618,9.06,3,3,78,296,30,0,0,0,1,37422.88
Vainona,upper-mid,-17.777421062833966,31.08324674557112,7.2,3,3,191,1148,31,0,0,0,1,333798.19
Glen View,township,-17.927462481382015,30.971961285385355,13.22,2,1,86,335,17,0,0,0,1,35032.45
Borrowdale,premium,-17.733661599240783,31.09421922940229,12.01,2,2,423,3502,15,1,1,1,1,709375.9
Marlborough,middle,-17.78495118487785,30.946588781019333,11.61,2,2,172,809,25,0,1,0,1,186179.58
Avonlea,middle,-17.767356911174335,30.991000252645318,9.1,2,1,207,1564,21,0,0,0,1,162926.25
Mt Pleasant,premium,-17.778010850528,31.01590285511701,6.65,6,5,475,2124,7,0,1,0,1,694784.39
Mt Pleasant,premium,-17.777899743560067,31.013730852287736,6.77,3,2,304,1107,11,0,1,1,1,469239.97
Avondale,upper-mid,-17.790654309608087,31.02851927203905,4.81,2,1,232,1240,8,1,1,0,1,307705.09
Budiriro,township,-17.944547285690057,30.946544715782682,16.37,1,1,94,375,17,0,0,0,0,29892.18
Avonlea,middle,-17.77621631528408,30.991263482443888,8.34,4,3,177,919,27,0,1,0,1,254134.99
Kambuzuma,township,-17.86122828823541,30.955035438130516,10.1,5,5,82,497,7,0,0,0,0,64639.61
Mabelreign,middle,-17.811672298515923,31.000893059204476,5.14,1,1,207,763,16,0,0,1,1,116785.25
Avondale,upper-mid,-17.788741619991875,31.023015099421126,5.24,4,4,293,843,10,1,1,0,1,445989.92
Mabelreign,middle,-17.807885786065807,31.003484593312265,5.09,5,4,173,383,10,0,0,0,1,182317.25
Borrowdale,premium,-17.7348980840569,31.099577258208832,12.15,4,3,464,2253,0,0,1,1,1,688020.24
Mt Pleasant,premium,-17.779046579626886,31.01833100307344,6.43,3,2,435,1347,41,1,1,1,1,478730.73
Mabelreign,middle,-17.81205755607929,31.001188169335208,5.09,4,3,179,742,36,0,1,0,1,133740.79
Mabelreign,middle,-17.802306677283173,30.9902002395837,6.62,3,3,175,1257,38,0,0,1,1,122319.75
Highlands,upper-mid,-17.79463641237347,31.07241755848105,4.98,4,4,234,934,21,0,1,1,1,384896.01
Marlborough,middle,-17.775964825843033,30.94956158538771,11.81,4,3,215,1297,17,0,1,1,0,273157.63
Avonlea,middle,-17.76522858914019,30.989728922706682,9.37,2,1,203,1029,22,0,0,1,0,195189.43
Mufakose,township,-17.914437036223617,30.964884913653393,12.57,2,2,88,309,28,0,0,0,1,45862.37
Avonlea,middle,-17.76573737244208,30.987452378973636,9.48,4,4,133,765,13,0,0,0,1,257812.56
Greendale,upper-mid,-17.793153431883493,31.12415867815341,9.38,4,3,261,1524,0,1,0,0,1,430080.01
Greendale,upper-mid,-17.789616468162897,31.13097126076577,10.2,1,1,334,1712,11,0,1,1,1,361652.35
Avondale,upper-mid,-17.791652125300057,31.028778333043633,4.7,2,2,324,2596,22,0,1,1,1,308766.89
Belvedere,middle,-17.85587776681888,31.01981338310475,3.84,1,1,165,534,31,0,0,0,1,118527.59
Mufakose,township,-17.912155894033116,30.955410380974538,13.09,2,2,89,386,49,0,0,0,1,33535.77
Avondale,upper-mid,-17.789224636822357,31.030501671449187,4.89,7,6,222,1218,14,1,0,1,1,460612.29
